EMPLOYEE_NAME,MANAGER_NAME,EMPLOYEE_ID,MANAGER_ID,PHONE_NUMBER,HIRE_DATE,SALARY,JOB_DETAILS,DEPARTMENT
Hermann Baer,Neena Kochhar,204,101,(515) 123-8888,07-06-2004,10000,SALES REP,SALES
Shelley Higgins,Neena Kochhar,205,101,(515) 123-8080,07-06-2004,12000,CONTROLLER,FINANCE
Steven King,,100,,(515) 123-4567,17-06-2003,24000,PRESIDENT,PRESIDENCE
Neena Kochhar,Steven King,101,100,(515) 123-4568,17-06-2003,17000,VP,PRESIDENCE
Lex De Haan,Steven King,102,100,(515) 123-4569,17-06-2003,17000,VP,PRESIDENCE
Alexander Hunold,Lex De Haan,103,102,(590) 423-4567,03-01-2006,9000,PROGRAMMER,IT
Bruce Ernst,Alexander Hunold,104,103,(590) 423-4568,21-05-2007,6000,PROGRAMMER,IT
Valli Pataballa,Alexander Hunold,106,103,(590) 423-4560,21-05-2007,4800,PROGRAMMER,IT
Nancy Greenberg,Neena Kochhar,108,101,(515) 124-4569,03-01-2006,12000,MANAGER,FINANCE
Ismael Sciarra,Nancy Greenberg,111,108,(515) 124-4369,30-09-2007,7700,ACCOUNTANT,FINANCE
Jose Manuel Urman,Nancy Greenberg,112,108,(515) 124-4469,07-03-2006,7800,ACCOUNTANT,FINANCE
Luis Popp,Nancy Greenberg,113,108,(515) 124-4567,21-05-2007,6900,ACCOUNTANT,FINANCE
Den Raphaely,Steven King,114,100,(515) 127-4561,17-06-2003,11000,MANAGER,ANALYTICS
Alexander Khoo,Den Raphaely,115,114,(515) 127-4562,24-12-2005,3100,CLERK,ANALYTICS
Shelli Baida,Den Raphaely,116,114,(515) 127-4563,24-12-2005,2900,CLERK,ANALYTICS
Adam Fripp,Steven King,121,100,(650) 123-2234,17-06-2003,8200,MANAGER,DOCUMENTATION
Laura Bissot,Adam Fripp,129,121,(650) 124-5234,07-06-2004,3300,CLERK,DOCUMENTATION
Test,Test,1,1,1,26-08-2025,1,test,test
test2,test2,2,2,2,26-08-2025,2,test2,test2
